id,Idx,X_pos,Y_pos,comm,race,gender
data_1_,1,803,104,1,White,F
data_1_,2,989,283,1,White,F
data_1_,3,891,219,1,Asian,F
data_1_,4,565,566,2,Asian,M
data_1_,5,349,285,2,Black,M
data_1_,6,792,294,2,White,F
data_1_,7,503,235,2,White,F
data_1_,8,656,659,2,Asian,F
data_1_,9,666,513,3,Hispanic,M
data_1_,10,893,391,3,Black,F
data_1_,11,414,203,3,White,M
data_1_,12,408,353,3,White,M
data_1_,13,736,581,3,White,F
data_1_,14,500,92,1,White,M
data_1_,15,821,651,1,Black,M
data_2_,1,811.1,241.3,1,White,M
data_2_,2,698.4,590.8,1,Hispanic,M
data_2_,3,863.7,385.4,1,Black,F
data_2_,4,890.4,242.9,2,White,M
data_2_,5,440,481.3,2,White,F
data_2_,6,779.6,591.5,2,Asian,M
data_2_,7,355.9,480.3,2,White,F
data_2_,8,590.4,264.1,2,White,F
data_2_,9,591.2,126.4,3,White,M
data_2_,10,435.5,621.2,3,White,F
data_2_,11,511.2,262.3,3,White,F
data_2_,12,782.9,386.6,3,Asian,F
data_2_,13,512,124.6,3,Black,M
data_2_,14,730.3,240.7,1,Asian,F
data_2_,15,430.8,187.8,1,Black,M
data_3_,1,571.8,104.8,1,White,F
data_3_,2,298.3,361.3,1,White,F
data_3_,3,405.4,204.8,1,Black,M
data_3_,4,706.8,673.9,2,White,M
data_3_,5,749.7,137.8,2,White,M
data_3_,6,766.5,673.1,2,White,F
data_3_,7,390.3,557.8,2,White,F
data_3_,8,905.8,224.8,2,Asian,F
data_3_,9,954.9,280.2,3,White,F
data_3_,10,692,104.1,3,Asian,M
data_3_,11,462.5,634.6,3,Hispanic,M
data_3_,12,637.5,103.4,3,Black,F
data_3_,13,968.2,426.2,3,White,M
data_3_,14,362.7,367.4,1,Asian,F
data_3_,15,479.1,223.5,1,Black,M
data_10,1,881.6,555,1,White,M
data_10,2,590.1,665.2,1,White,F
data_10,3,583.8,101.1,1,Black,M
data_10,4,600.9,188.8,2,Black,F
data_10,5,781.3,507.1,2,White,M
data_10,6,450.8,447.6,2,White,F
data_10,7,552.4,500.8,2,White,F
data_10,8,653.6,145,2,Asian,M
data_10,9,682,526.5,3,White,F
data_10,10,512.4,616.4,3,White,M
data_10,11,688.4,382.7,3,Asian,F
data_10,12,753.4,276.1,3,White,F
data_10,13,510.4,152.4,3,Black,M
data_10,14,533.6,189.8,1,Hispanic,M
data_10,15,616.2,300.7,1,Asian,F
data_11,1,709.6,113.2,1,White,F
data_11,2,878.9,403.3,1,White,F
data_11,3,616.8,686.4,1,Hispanic,M
data_11,4,453.9,530.4,2,White,M
data_11,5,488.8,115.6,2,Asian,M
data_11,6,779.6,687.8,2,Black,M
data_11,7,804.1,399.2,2,Black,F
