id,trial,top_idx,within_idx,between_idx,within_is_left_or_right,trial_type,question_type,question_idx,choice,rt,stim_onset,IG,IG2,targRace,targGend,winRace,winGend,btwnRace,btwnGend,winRaceMatch,btwnRaceMatch,winGendMatch,btwnGendMatch,comparison,question
data_1_,1,8,4,11,2,2,1,5,2,7.6593,183265.1725,1,1,Asian,F,Asian,M,White,M,1,0,0,0,Two-step,Pos Action
data_1_,2,14,3,11,2,2,1,9,1,3.2535,183273.3724,0,0,White,M,Asian,F,White,M,0,1,0,1,Two-step,Pos Action
data_1_,3,8,7,9,2,1,1,6,1,3.4565,183277.1903,0,0,Asian,F,White,F,Hispanic,M,0,0,1,0,One-step,Pos Action
data_1_,4,9,10,8,2,1,2,2,2,3.9037,183281.1741,1,0,Hispanic,M,Black,F,Asian,F,0,0,0,0,One-step,Neg Action
data_1_,5,3,14,7,2,2,4,4,1,10.6417,183285.6392,0,0,Asian,F,White,M,White,F,0,0,0,1,Two-step,Similarity
data_1_,6,3,14,4,1,3,2,10,1,5.7713,183296.8105,1,0,Asian,F,White,M,Asian,M,0,1,0,0,One-versus-two-step,Neg Action
data_1_,7,14,3,13,1,3,3,3,2,3.8579,183303.1015,0,0,White,M,Asian,F,White,F,0,1,0,0,One-versus-two-step,Friendship
data_1_,8,3,14,7,2,2,2,10,2,5.8291,183307.4837,1,0,Asian,F,White,M,White,F,0,0,0,1,Two-step,Neg Action
data_1_,9,13,11,14,2,1,3,3,2,4.677,183313.8412,1,1,White,F,White,M,White,M,1,1,0,0,One-step,Friendship
data_1_,10,13,9,14,1,3,3,3,1,3.2172,183319.0367,1,1,White,F,Hispanic,M,White,M,0,1,0,0,One-versus-two-step,Friendship
data_1_,11,9,12,8,1,1,4,4,2,3.7492,183322.7716,0,0,Hispanic,M,White,M,Asian,F,0,0,1,0,One-step,Similarity
data_1_,12,3,14,4,2,3,4,4,1,3.4284,183327.0375,0,0,Asian,F,White,M,Asian,M,0,1,0,0,One-versus-two-step,Similarity
data_1_,13,4,8,1,1,2,3,3,1,1.7411,183330.9881,1,1,Asian,M,Asian,F,White,F,1,0,0,0,Two-step,Friendship
data_1_,14,4,7,3,2,1,1,7,2,8.6491,183333.2622,1,1,Asian,M,White,F,Asian,F,0,1,0,0,One-step,Pos Action
data_1_,15,3,15,4,2,1,4,4,1,5.4547,183342.4416,0,0,Asian,F,Black,M,Asian,M,0,1,0,0,One-step,Similarity
data_1_,16,13,9,2,1,2,4,4,1,2.306,183348.4173,1,1,White,F,Hispanic,M,White,F,0,1,0,1,Two-step,Similarity
data_1_,17,13,12,14,1,1,1,1,1,4.1356,183351.2557,1,1,White,F,White,M,White,M,1,1,0,0,One-step,Pos Action
data_1_,18,3,14,4,2,3,1,9,2,5.4304,183355.9201,1,1,Asian,F,White,M,Asian,M,0,1,0,0,One-versus-two-step,Pos Action
data_1_,19,13,9,2,2,2,3,3,2,3.423,183361.8792,1,1,White,F,Hispanic,M,White,F,0,1,0,1,Two-step,Friendship
data_1_,20,14,2,13,2,1,4,4,2,4.2449,183365.8298,1,1,White,M,White,F,White,F,1,1,0,0,One-step,Similarity
data_1_,21,13,12,14,1,1,2,14,2,3.4943,183370.5938,0,1,White,F,White,M,White,M,1,1,0,0,One-step,Neg Action
data_1_,22,4,7,3,2,1,4,4,1,5.2799,183374.6108,0,0,Asian,M,White,F,Asian,F,0,1,0,0,One-step,Similarity
data_1_,23,9,13,8,1,3,4,4,1,7.1526,183380.4205,1,1,Hispanic,M,White,F,Asian,F,0,0,0,0,One-versus-two-step,Similarity
data_1_,24,3,14,4,1,3,3,3,2,5.8274,183388.1059,0,0,Asian,F,White,M,Asian,M,0,1,0,0,One-versus-two-step,Friendship
data_1_,25,8,4,10,1,2,3,3,1,2.4351,183394.4634,1,1,Asian,F,Asian,M,Black,F,1,0,0,1,Two-step,Friendship
data_1_,26,13,12,14,1,1,4,4,1,2.4038,183397.418,1,1,White,F,White,M,White,M,1,1,0,0,One-step,Similarity
data_1_,27,3,14,6,1,2,1,9,2,3.3424,183400.3395,0,0,Asian,F,White,M,White,F,0,0,0,1,Two-step,Pos Action
data_1_,28,3,1,4,1,1,2,12,2,4.072,183404.2071,0,1,Asian,F,White,F,Asian,M,0,1,1,0,One-step,Neg Action
data_1_,29,8,4,9,1,3,3,3,2,6.1911,183408.805,0,0,Asian,F,Asian,M,Hispanic,M,1,0,0,0,One-versus-two-step,Friendship
data_1_,30,3,2,4,2,1,1,8,2,2.6049,183415.5277,1,1,Asian,F,White,F,Asian,M,0,1,1,0,One-step,Pos Action
data_1_,31,13,9,15,1,2,1,5,1,2.7911,183418.6649,1,1,White,F,Hispanic,M,Black,M,0,0,0,0,Two-step,Pos Action
data_1_,32,8,6,9,2,1,3,3,1,2.6865,183421.9848,0,0,Asian,F,White,F,Hispanic,M,0,0,1,0,One-step,Friendship
data_1_,33,14,3,13,1,3,2,14,1,4.5854,183425.205,1,0,White,M,Asian,F,White,F,0,1,0,0,One-versus-two-step,Neg Action
data_1_,34,14,3,13,1,3,1,8,2,3.9276,183430.3176,0,0,White,M,Asian,F,White,F,0,1,0,0,One-versus-two-step,Pos Action
data_1_,35,3,14,7,1,2,3,3,2,3.1709,183434.7661,0,0,Asian,F,White,M,White,F,0,0,0,1,Two-step,Friendship
data_1_,36,14,3,10,1,2,2,13,1,8.0754,183438.4677,1,0,White,M,Asian,F,Black,F,0,0,0,0,Two-step,Neg Action
data_1_,37,4,8,3,1,3,3,3,1,3.2303,183447.0661,1,1,Asian,M,Asian,F,Asian,F,1,1,0,0,One-versus-two-step,Friendship
data_1_,38,14,1,13,1,1,1,1,1,7.8692,183450.8175,1,1,White,M,White,F,White,F,1,1,0,0,One-step,Pos Action
data_1_,39,8,4,9,1,3,1,9,2,3.8297,183459.2167,0,0,Asian,F,Asian,M,Hispanic,M,1,0,0,0,One-versus-two-step,Pos Action
data_1_,40,9,13,7,1,2,4,4,1,2.3715,183463.5657,1,1,Hispanic,M,White,F,White,F,0,0,0,0,Two-step,Similarity
data_1_,41,14,1,13,1,1,3,3,1,2.4825,183466.4706,1,1,White,M,White,F,White,F,1,1,0,0,One-step,Friendship
data_1_,42,8,4,9,1,3,2,2,1,3.7579,183469.475,1,0,Asian,F,Asian,M,Hispanic,M,1,0,0,0,One-versus-two-step,Neg Action
data_1_,43,4,8,2,1,2,1,9,1,1.7249,183473.7576,1,1,Asian,M,Asian,F,White,F,1,0,0,0,Two-step,Pos Action
data_1_,44,4,8,3,2,3,4,4,2,2.7031,183476.0151,1,1,Asian,M,Asian,F,Asian,F,1,1,0,0,One-versus-two-step,Similarity
data_1_,45,8,5,9,2,1,2,12,2,3.3124,183479.2353,1,0,Asian,F,Black,M,Hispanic,M,0,0,0,0,One-step,Neg Action
data_1_,46,4,8,1,1,2,4,4,1,2.725,183483.0697,1,1,Asian,M,Asian,F,White,F,1,0,0,0,Two-step,Similarity
